"Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
#period_date,#country,#origin,#inneed_num,#reached_num,,
"2012","MOR","ICO",312,312,312,312
"2012","MOR","IRN",0,0,0,0
"2012","MOR","IRQ",147,147,147,147
"2012","MOR","LBR",4,4,4,4
"2012","MOR","LBY",0,0,0,0
"2012","MOR","LKA",1,1,1,1
"2012","MOR","NGR",1,1,1,1
"2012","MOR","NIG",5,5,5,5
"2012","MOR","PAK",7,7,7,7
"2012","MOR","RWA",5,5,5,5
"2012","MOR","SEN",4,4,4,4
"2012","MOR","SLE",0,0,0,0
"2012","MOR","SOM",7,7,7,7
"2012","MOR","SUD",4,4,4,4
"2012","MOR","TOG",2,2,2,2
"2012","MOR","TUN",1,1,1,1
"2012","MOR","UGA",1,1,1,1
"2012","MOR","YEM",0,0,0,0
"2012","MOR","ZIM",0,0,0,0
"2012","MOZ","AFG",1,0,1,0
"2012","MOZ","ANG",3,2,3,2
"2012","MOZ","BDI",976,326,976,326
"2012","MOZ","COB",11,6,11,6
"2012","MOZ","COD",2527,2047,2527,NA
"2012","MOZ","CUB",1,0,1,0
"2012","MOZ","ETH",2,2,2,2
"2012","MOZ","LBR",1,0,1,0
"2012","MOZ","mad",1,0,1,0
"2012","MOZ","RWA",777,203,777,203
"2012","MOZ","SLE",1,0,1,0
"2012","MOZ","SOM",89,0,89,0
"2012","MOZ","SUD",5,0,5,0
"2012","MOZ","UGA",3,0,3,0
"2012","MTA","ARE",8,0,8,0
"2012","MTA","BGD",5,0,5,0
"2012","MTA","CHD",4,0,4,0
"2012","MTA","CHI",3,0,3,0
"2012","MTA","CMR",5,0,5,0
"2012","MTA","COD",64,0,64,0
"2012","MTA","ERT",1681,0,1681,0
"2012","MTA","ETH",93,0,93,0
"2012","MTA","GAZ",22,0,22,0
"2012","MTA","GEO",3,0,3,0
"2012","MTA","ICO",30,0,30,0
"2012","MTA","IND",1,0,1,0
"2012","MTA","IRN",3,0,3,0
"2012","MTA","IRQ",24,0,24,0
"2012","MTA","KAZ",1,0,1,0
"2012","MTA","LBR",2,0,2,0
"2012","MTA","LBY",68,0,68,0
"2012","MTA","LKA",7,0,7,0
"2012","MTA","MLI",8,0,8,0
"2012","MTA","MOR",5,0,5,0
"2012","MTA","MYA",1,0,1,0
"2012","MTA","NEP",1,0,1,0
"2012","MTA","NIG",11,0,11,0
"2012","MTA","PAK",40,0,40,0
"2012","MTA","SAU",1,0,1,0
"2012","MTA","SLE",0,0,0,0
"2012","MTA","SOM",5041,0,5041,0
"2012","MTA","SRB",2,0,2,0
"2012","MTA","SUD",301,0,301,0
"2012","MTA","SYR",191,0,191,0
"2012","MTA","TKM",2,0,2,0
"2012","MTA","TOG",2,0,2,0
"2012","MTA","TUN",4,0,4,0
"2012","MTA","TUR",1,0,1,0
"2012","MTA","VAR",613,0,613,0
"2012","NAM","ANG",0,0,0,0
"2012","NAM","BDI",214,214,214,214
"2012","NAM","CAR",2,2,2,2
"2012","NAM","CMR",4,4,4,4
"2012","NAM","COB",3,3,3,3
"2012","NAM","COD",1436,1436,1436,NA
"2012","NAM","ERT",1,1,1,1
"2012","NAM","ETH",1,1,1,1
"2012","NAM","RWA",109,109,109,109
"2012","NAM","SOM",4,4,4,4
"2012","NAM","SUD",4,4,4,4
"2012","NAM","UGA",4,4,4,4
"2012","NAM","ZIM",24,24,24,24
"2012","NEP","AFG",2,2,2,2
"2012","NEP","BGD",2,2,2,2
"2012","NEP","BHU",40971,40971,40971,NA
"2012","NEP","COD",4,4,4,4
"2012","NEP","IRN",4,4,4,4
"2012","NEP","IRQ",4,4,4,4
"2012","NEP","LKA",11,11,11,11
"2012","NEP","MYA",47,47,47,47
"2012","NEP","PAK",169,169,169,169
"2012","NEP","SOM",50,50,50,50
"2012","NEP","TIB",15000,0,15000,0
"2012","NET","AFG",6126,0,6126,0
"2012","NET","ALB",18,0,18,0
"2012","NET","ALG",29,0,29,0
"2012","NET","AND",1,0,1,0
"2012","NET","ANG",722,0,722,0
"2012","NET","ARE",92,0,92,0
"2012","NET","ARG",1,0,1,0
"2012","NET","ARM",926,0,926,0
"2012","NET","AZE",1436,0,1436,0
"2012","NET","BDI",1656,0,1656,0
"2012","NET","BEL",1,0,1,0
"2012","NET","BEN",11,0,11,0
"2012","NET","BGD",31,0,31,0
"2012","NET","BHU",211,0,211,0
"2012","NET","BKF",11,0,11,0
"2012","NET","BLR",110,0,110,0
"2012","NET","BOT",1,0,1,0
"2012","NET","BRA",2,0,2,0
"2012","NET","BSN",247,0,247,0
"2012","NET","BUL",3,0,3,0
"2012","NET","CAM",31,0,31,0
"2012","NET","CAR",6,0,6,0
"2012","NET","CHD",17,0,17,0
"2012","NET","CHI",1117,0,1117,0
"2012","NET","CHL",2,0,2,0
"2012","NET","CMR",179,0,179,0
"2012","NET","COB",680,0,680,0
"2012","NET","COD",833,0,833,0
"2012","NET","COL",295,0,295,0
"2012","NET","CUB",15,0,15,0
"2012","NET","CVI",0,0,0,0
"2012","NET","DJB",10,0,10,0
"2012","NET","ECU",10,0,10,0
"2012","NET","ERT",2103,0,2103,0
"2012","NET","ETH",726,0,726,0
"2012","NET","FRA",1,0,1,0
"2012","NET","GAB",3,0,3,0
"2012","NET","GAM",22,0,22,0
"2012","NET","GAZ",55,0,55,0
"2012","NET","GBR",1,0,1,0
"2012","NET","GEO",117,0,117,0
"2012","NET","GFR",1,0,1,0
"2012","NET","GHA",3,0,3,0
"2012","NET","GNB",5,0,5,0
"2012","NET","GRE",1,0,1,0
"2012","NET","GUI",825,0,825,0
"2012","NET","HAI",2,0,2,0
"2012","NET","HON",6,0,6,0
"2012","NET","HRV",23,0,23,0
"2012","NET","HUN",0,0,0,0
"2012","NET","ICO",645,0,645,0
"2012","NET","IND",6,0,6,0
"2012","NET","INS",28,0,28,0
"2012","NET","IRN",3354,0,3354,0
"2012","NET","IRQ",18012,0,18012,0
"2012","NET","ISR",2,0,2,0
"2012","NET","JAM",53,0,53,0
"2012","NET","JOR",9,0,9,0
"2012","NET","KAZ",98,0,98,0
"2012","NET","KEN",32,0,32,0
"2012","NET","KGZ",64,0,64,0
"2012","NET","KOR",4,0,4,0
"2012","NET","KRN",58,0,58,0
"2012","NET","KUW",8,0,8,0
"2012","NET","LAO",33,0,33,0
"2012","NET","LBR",431,0,431,0
"2012","NET","LBY",309,0,309,0
"2012","NET","LEB",46,0,46,0
"2012","NET","LKA",644,0,644,0
"2012","NET","LVA",3,0,3,0
"2012","NET","MAU",17,0,17,0
"2012","NET","MCD",10,0,10,0
"2012","NET","MDA",7,0,7,0
"2012","NET","MEX",3,0,3,0
"2012","NET","MLI",10,0,10,0
"2012","NET","MLS",8,0,8,0
"2012","NET","MLW",2,0,2,0
"2012","NET","MNG",41,0,41,0
"2012","NET","MOR",15,0,15,0
"2012","NET","MYA",795,0,795,0
"2012","NET","NAM",4,0,4,0
"2012","NET","NEP",385,0,385,0
"2012","NET","NET",4,0,4,0
"2012","NET","NGR",43,0,43,0
"2012","NET","NIG",213,0,213,0
"2012","NET","NOR",1,0,1,0
"2012","NET","PAK",249,0,249,0
"2012","NET","PAN",1,0,1,0
"2012","NET","PER",9,0,9,0
"2012","NET","PHI",15,0,15,0
"2012","NET","ROM",13,0,13,0
"2012","NET","RSA",2,0,2,0
"2012","NET","RUS",880,0,880,0
"2012","NET","RWA",363,0,363,0
"2012","NET","SAL",1,0,1,0
"2012","NET","SAU",20,0,20,0
"2012","NET","SEN",16,0,16,0
"2012","NET","SLE",1000,0,1000,0
"2012","NET","SOM",16286,0,16286,0
"2012","NET","SPA",1,0,1,0
"2012","NET","SRB",565,0,565,0
"2012","NET","SRV",28,0,28,0
"2012","NET","STA",622,0,622,0
"2012","NET","SUD",1233,0,1233,0
"2012","NET","SVK",8,0,8,0
"2012","NET","SWA",1,0,1,0
"2012","NET","swe",1,0,1,0
"2012","NET","SYR",1449,0,1449,0
"2012","NET","TAN",5,0,5,0
"2012","NET","TJK",56,0,56,0
"2012","NET","TKM",20,0,20,0
"2012","NET","TOG",157,0,157,0
"2012","NET","TRT",5,0,5,0
"2012","NET","TUN",38,0,38,0
"2012","NET","TUR",499,0,499,0
"2012","NET","UGA",230,0,230,0
"2012","NET","UKR",74,0,74,0
"2012","NET","USA",1,0,1,0
"2012","NET","UZB",195,0,195,0
"2012","NET","VAR",3665,0,3665,0
"2012","NET","VEN",0,0,0,0
"2012","NET","YEM",43,0,43,0
"2012","NET","ZAM",2,0,2,0
"2012","NET","ZIM",35,0,35,0
"2012","NGR","CAR",3,3,3,3
"2012","NGR","CHD",142,142,142,142
"2012","NGR","CMR",6,6,6,6
"2012","NGR","COB",3,3,3,3
"2012","NGR","COD",68,68,68,68
"2012","NGR","ICO",28,28,28,28
"2012","NGR","IRN",1,1,1,1
"2012","NGR","IRQ",6,6,6,6
"2012","NGR","LBR",2,2,2,2
"2012","NGR","MLI",50204,50204,50204,NA
"2012","NGR","RWA",27,27,27,27
"2012","NGR","SOM",9,9,9,9
"2012","NGR","SUD",9,9,9,9
"2012","NGR","TOG",2,2,2,2
"2012","NIC","CAR",1,1,1,1
"2012","NIC","COB",0,0,0,0
"2012","NIC","COL",8,2,8,2
"2012","NIC","COS",1,1,1,1
"2012","NIC","CUB",6,6,6,6
"2012","NIC","GUA",8,3,8,3
"2012","NIC","HON",33,4,33,4
"2012","NIC","IND",1,0,1,0
"2012","NIC","PER",2,0,2,0
"2012","NIC","SAL",69,69,69,69
"2012","NIC","SOM",0,0,0,0
"2012","NIG","ANG",7,7,7,7
"2012","NIG","ARE",3,3,3,3
"2012","NIG","BDI",6,6,6,6
"2012","NIG","CAR",7,7,7,7
"2012","NIG","CHD",213,213,213,213
"2012","NIG","CMR",858,858,858,858
"2012","NIG","COB",4,4,4,4
"2012","NIG","COD",860,860,860,860
"2012","NIG","EGU",4,4,4,4
"2012","NIG","ERT",15,15,15,15
"2012","NIG","ETH",29,29,29,29
"2012","NIG","GAZ",7,7,7,7
"2012","NIG","GHA",71,71,71,71
"2012","NIG","GNB",6,6,6,6
"2012","NIG","GUI",44,44,44,44
"2012","NIG","ICO",148,148,148,148
"2012","NIG","IRQ",2,2,2,2
"2012","NIG","LBR",564,564,564,564
"2012","NIG","LBY",2,2,2,2
"2012","NIG","LKA",15,15,15,15
"2012","NIG","MLI",9,9,9,9
"2012","NIG","NGR",1,1,1,1
"2012","NIG","RWA",36,36,36,36
"2012","NIG","SLE",50,50,50,50
"2012","NIG","SOM",21,21,21,21
"2012","NIG","SUD",146,146,146,146
"2012","NIG","TOG",24,24,24,24
"2012","NIG","UGA",2,2,2,2
"2012","NOR","AFG",5984,0,5984,0
"2012","NOR","ALB",38,0,38,0
"2012","NOR","ALG",42,0,42,0
"2012","NOR","ANG",165,0,165,0
"2012","NOR","ARE",18,0,18,0
"2012","NOR","ARM",22,0,22,0
"2012","NOR","AZE",51,0,51,0
"2012","NOR","BDI",398,0,398,0
"2012","NOR","BEL",1,0,1,0
"2012","NOR","BEN",3,0,3,0
"2012","NOR","BGD",13,0,13,0
"2012","NOR","BHU",10,0,10,0
"2012","NOR","BKF",3,0,3,0
"2012","NOR","BLR",31,0,31,0
"2012","NOR","BRU",1,0,1,0
"2012","NOR","BSN",53,0,53,0
"2012","NOR","BUL",8,0,8,0
"2012","NOR","CAM",1,0,1,0
"2012","NOR","CAR",1,0,1,0
"2012","NOR","CHD",4,0,4,0
"2012","NOR","CHI",656,0,656,0
"2012","NOR","CHL",0,0,0,0
"2012","NOR","CMR",26,0,26,0
"2012","NOR","COB",34,0,34,0
"2012","NOR","COD",299,0,299,0
"2012","NOR","COL",27,0,27,0
"2012","NOR","CUB",7,0,7,0
"2012","NOR","CVI",1,0,1,0
"2012","NOR","DJB",2,0,2,0
"2012","NOR","ECU",3,0,3,0
"2012","NOR","EGU",1,0,1,0
"2012","NOR","ERT",7129,0,7129,0
"2012","NOR","EST",0,0,0,0
"2012","NOR","ETH",1530,0,1530,0
"2012","NOR","FIJ",1,0,1,0
"2012","NOR","GAM",7,0,7,0
"2012","NOR","GAZ",0,0,0,0
"2012","NOR","GEO",10,0,10,0
"2012","NOR","GFR",1,0,1,0
"2012","NOR","GHA",5,0,5,0
"2012","NOR","GUA",7,0,7,0
"2012","NOR","GUI",42,0,42,0
"2012","NOR","HAI",2,0,2,0
"2012","NOR","HRV",11,0,11,0
"2012","NOR","HUN",4,0,4,0
"2012","NOR","ICO",26,0,26,0
"2012","NOR","IND",12,0,12,0
"2012","NOR","INS",2,0,2,0
"2012","NOR","IRN",1334,0,1334,0
"2012","NOR","IRQ",5727,0,5727,0
"2012","NOR","ISR",8,0,8,0
"2012","NOR","JOR",16,0,16,0
"2012","NOR","KAZ",27,0,27,0
"2012","NOR","KEN",16,0,16,0
"2012","NOR","KGZ",25,0,25,0
"2012","NOR","KOR",0,0,0,0
"2012","NOR","KRN",14,0,14,0
"2012","NOR","KUW",8,0,8,0
"2012","NOR","LAO",0,0,0,0
"2012","NOR","LBR",67,0,67,0
"2012","NOR","LBY",50,0,50,0
"2012","NOR","LEB",37,0,37,0
"2012","NOR","LKA",336,0,336,0
"2012","NOR","LTU",1,0,1,0
"2012","NOR","MAC",0,0,0,0
"2012","NOR","MAU",2,0,2,0
"2012","NOR","MCD",0,0,0,0
"2012","NOR","MDA",2,0,2,0
"2012","NOR","MLI",0,0,0,0
"2012","NOR","MLS",1,0,1,0
"2012","NOR","MLW",8,0,8,0
"2012","NOR","MNE",4,0,4,0
"2012","NOR","MNG",9,0,9,0
"2012","NOR","MOR",26,0,26,0
"2012","NOR","MOZ",1,0,1,0
"2012","NOR","MYA",160,0,160,0
"2012","NOR","NAM",0,0,0,0
"2012","NOR","NEP",14,0,14,0
"2012","NOR","NET",2,0,2,0
"2012","NOR","NGR",10,0,10,0
"2012","NOR","NIG",109,0,109,0
"2012","NOR","PAK",91,0,91,0
"2012","NOR","PER",1,0,1,0
"2012","NOR","PHI",8,0,8,0
"2012","NOR","POL",1,0,1,0
"2012","NOR","ROM",6,0,6,0
"2012","NOR","RUS",3875,0,3875,0
"2012","NOR","RWA",170,0,170,0
"2012","NOR","SAL",5,0,5,0
"2012","NOR","SAU",0,0,0,0
"2012","NOR","SEN",2,0,2,0
"2012","NOR","SLE",15,0,15,0
"2012","NOR","SOM",8870,0,8870,0
"2012","NOR","SRB",946,0,946,0
"2012","NOR","SRV",14,0,14,0
"2012","NOR","SSD",2,0,2,0
"2012","NOR","STA",2116,0,2116,0
"2012","NOR","SUD",800,0,800,0
"2012","NOR","SVK",1,0,1,0
"2012","NOR","SYR",565,0,565,0
"2012","NOR","TAN",3,0,3,0
"2012","NOR","THA",31,0,31,0
"2012","NOR","TJK",15,0,15,0
"2012","NOR","TKM",7,0,7,0
"2012","NOR","TOG",14,0,14,0
"2012","NOR","TUN",3,0,3,0
"2012","NOR","TUR",138,0,138,0
"2012","NOR","UGA",52,0,52,0
"2012","NOR","UKR",5,0,5,0
"2012","NOR","USA",3,0,3,0
"2012","NOR","UZB",145,0,145,0
"2012","NOR","VAR",59,0,59,0
"2012","NOR","WSH",1,0,1,0
"2012","NOR","YEM",130,0,130,0
"2012","NOR","ZAM",1,0,1,0
"2012","NOR","ZIM",21,0,21,0
"2012","NZL","AFG",29,0,29,0
"2012","NZL","ALB",1,0,1,0
"2012","NZL","ALG",21,0,21,0
"2012","NZL","ANG",1,0,1,0
"2012","NZL","ARE",23,0,23,0
"2012","NZL","BAH",20,0,20,0
"2012","NZL","BDI",1,0,1,0
"2012","NZL","BGD",7,0,7,0
"2012","NZL","BHU",0,0,0,0
"2012","NZL","BLR",3,0,3,0
"2012","NZL","BRA",1,0,1,0
"2012","NZL","BUL",7,0,7,0
"2012","NZL","CAM",3,0,3,0
"2012","NZL","CHD",1,0,1,0
"2012","NZL","CHI",126,0,126,0
"2012","NZL","CHL",6,0,6,0
"2012","NZL","CMR",5,0,5,0
"2012","NZL","COB",8,0,8,0
"2012","NZL","COD",6,0,6,0
"2012","NZL","COL",17,0,17,0
"2012","NZL","CUB",4,0,4,0
"2012","NZL","CZE",69,0,69,0
"2012","NZL","DOM",2,0,2,0
"2012","NZL","ECU",0,0,0,0
"2012","NZL","ERT",8,0,8,0
"2012","NZL","ETH",16,0,16,0
"2012","NZL","FIJ",15,0,15,0
"2012","NZL","GAZ",13,0,13,0
"2012","NZL","GEO",1,0,1,0
"2012","NZL","GUI",1,0,1,0
"2012","NZL","HUN",1,0,1,0
"2012","NZL","IND",7,0,7,0
"2012","NZL","IRN",339,0,339,0
"2012","NZL","IRQ",188,0,188,0
"2012","NZL","ISR",4,0,4,0
"2012","NZL","JOR",15,0,15,0
"2012","NZL","KEN",2,0,2,0
"2012","NZL","KGZ",9,0,9,0
"2012","NZL","KIR",1,0,1,0
"2012","NZL","KOR",1,0,1,0
"2012","NZL","KUW",7,0,7,0
"2012","NZL","LAO",0,0,0,0
"2012","NZL","LBR",0,0,0,0
"2012","NZL","LBY",9,0,9,0
"2012","NZL","LEB",5,0,5,0
"2012","NZL","LKA",98,0,98,0
"2012","NZL","MAC",0,0,0,0
"2012","NZL","mad",4,0,4,0
"2012","NZL","MCD",0,0,0,0
"2012","NZL","MEX",3,0,3,0
"2012","NZL","MLS",2,0,2,0
"2012","NZL","MNG",2,0,2,0
"2012","NZL","MOR",0,0,0,0
"2012","NZL","MYA",36,0,36,0
"2012","NZL","NEP",17,0,17,0
"2012","NZL","NIG",2,0,2,0
"2012","NZL","PAK",39,0,39,0
"2012","NZL","PNG",1,0,1,0
"2012","NZL","RSA",3,0,3,0
"2012","NZL","RUS",4,0,4,0
"2012","NZL","RWA",3,0,3,0
"2012","NZL","SAL",4,0,4,0
"2012","NZL","SAU",24,0,24,0
"2012","NZL","SLE",0,0,0,0
"2012","NZL","SOL",1,0,1,0
"2012","NZL","SOM",45,0,45,0
"2012","NZL","SRB",5,0,5,0
"2012","NZL","SRV",3,0,3,0
"2012","NZL","STA",4,0,4,0
"2012","NZL","SUD",14,0,14,0
"2012","NZL","SVK",7,0,7,0
"2012","NZL","SYR",41,0,41,0
"2012","NZL","THA",1,0,1,0
"2012","NZL","TOG",0,0,0,0
"2012","NZL","TUN",2,0,2,0
"2012","NZL","TUR",20,0,20,0
"2012","NZL","UGA",1,0,1,0
"2012","NZL","UKR",1,0,1,0
"2012","NZL","UZB",2,0,2,0
"2012","NZL","VAR",0,0,0,0
"2012","NZL","YEM",2,0,2,0
"2012","NZL","ZIM",123,0,123,0
"2012","OMN","IRQ",131,131,131,131
"2012","OMN","SYR",7,7,7,7
"2012","PAK","AFG",1637740,1637740,1637740,NA
"2012","PAK","ALG",17,17,17,17
"2012","PAK","ETH",4,4,4,4
"2012","PAK","GAZ",1,1,1,1
"2012","PAK","GHA",1,1,1,1
"2012","PAK","IRN",48,48,48,48
"2012","PAK","IRQ",72,72,72,72
"2012","PAK","MYA",23,23,23,23
"2012","PAK","RUS",7,7,7,7
"2012","PAK","RWA",1,1,1,1
"2012","PAK","SOM",517,517,517,517
"2012","PAK","SUD",1,1,1,1
"2012","PAK","SYR",11,11,11,11
"2012","PAK","TUR",6,6,6,6
"2012","PAK","UGA",1,1,1,1
"2012","PAK","UZB",6,6,6,6
"2012","PAN","AFG",1,1,1,1
"2012","PAN","ARG",1,1,1,1
"2012","PAN","BKF",1,1,1,1
"2012","PAN","BLR",7,7,7,7
"2012","PAN","BSN",3,3,3,3
"2012","PAN","CHD",2,2,2,2
"2012","PAN","CMR",8,8,8,8
"2012","PAN","COB",2,2,2,2
"2012","PAN","COD",5,5,5,5
"2012","PAN","COL",1723,1723,15723,NA
"2012","PAN","CUB",114,116,1114,216
"2012","PAN","DOM",4,4,4,4
"2012","PAN","ETH",2,2,2,2
"2012","PAN","GHA",2,2,2,2
"2012","PAN","GUA",12,12,12,12
"2012","PAN","HAI",17,20,17,20
"2012","PAN","HON",1,1,1,1
"2012","PAN","HRV",3,3,3,3
"2012","PAN","IRN",3,3,3,3
"2012","PAN","LBR",3,3,3,3
"2012","PAN","LTU",1,1,1,1
"2012","PAN","MCD",1,1,1,1
"2012","PAN","MEX",4,4,4,4
"2012","PAN","NIC",173,173,173,173
"2012","PAN","NIG",10,10,10,10
"2012","PAN","PER",23,23,23,23
"2012","PAN","ROM",2,2,2,2
"2012","PAN","RUS",2,2,2,2
"2012","PAN","RWA",1,1,1,1
"2012","PAN","SAL",269,269,269,269
"2012","PAN","SLE",1,1,1,1
"2012","PAN","SOM",1,1,1,1
"2012","PAN","SUD",4,4,4,4
"2012","PAN","UKR",2,2,2,2
"2012","PAN","USA",1,1,1,1
"2012","PAN","VEN",18,18,18,18
"2012","PAN","ZIM",2,2,2,2
"2012","PAR","BOL",13,5,13,5
"2012","PAR","COB",1,0,1,0
"2012","PAR","COL",40,11,40,11
"2012","PAR","CUB",56,6,56,6
"2012","PAR","GFR",1,0,1,0
"2012","PAR","IRN",1,0,1,0
"2012","PAR","IRQ",6,1,6,1
"2012","PAR","RUS",8,0,8,0
"2012","PAR","SLE",1,0,1,0
"2012","PAR","SRV",6,0,6,0
"2012","PER","ARM",1,0,1,0
"2012","PER","BGD",6,0,6,0
"2012","PER","BLR",1,0,1,0
"2012","PER","BOL",7,0,7,0
"2012","PER","BSN",6,0,6,0
"2012","PER","BUL",4,0,4,0
"2012","PER","CHI",2,0,2,0
"2012","PER","CMR",1,0,1,0
"2012","PER","COL",413,96,413,96
"2012","PER","CUB",469,8,469,8
"2012","PER","CZE",3,1,3,1
"2012","PER","DOM",2,2,2,2
"2012","PER","ECU",3,0,3,0
"2012","PER","GAM",4,0,4,0
"2012","PER","GAZ",20,0,20,0
"2012","PER","GEO",2,0,2,0
"2012","PER","GHA",1,0,1,0
"2012","PER","GUA",1,0,1,0
"2012","PER","HAI",16,5,16,5
"2012","PER","HUN",6,0,6,0
"2012","PER","IND",2,0,2,0
"2012","PER","IRN",9,0,9,0
"2012","PER","IRQ",9,0,9,0
"2012","PER","JOR",2,0,2,0
"2012","PER","LEB",1,0,1,0
"2012","PER","LTU",0,0,0,0
"2012","PER","NAM",1,0,1,0
"2012","PER","NGR",1,0,1,0
"2012","PER","NIG",5,1,5,1
"2012","PER","PAK",1,0,1,0
"2012","PER","POL",4,0,4,0
"2012","PER","ROM",1,0,1,0
"2012","PER","RSA",1,0,1,0
"2012","PER","RUS",16,0,16,0
"2012","PER","SAL",2,1,2,1
"2012","PER","SLE",1,0,1,0
"2012","PER","SOM",2,0,2,0
"2012","PER","SRB",80,5,80,5
"2012","PER","SRV",1,0,1,0
"2012","PER","STA",1,0,1,0
"2012","PER","TAN",1,0,1,0
"2012","PER","VEN",13,4,13,4
"2012","PHI","AFG",4,2,4,2
"2012","PHI","COB",1,0,1,0
"2012","PHI","ERT",1,0,1,0
"2012","PHI","ETH",1,0,1,0
"2012","PHI","GAZ",20,0,20,0
"2012","PHI","IRN",45,5,45,5
"2012","PHI","IRQ",23,0,23,0
"2012","PHI","LAO",0,0,0,0
"2012","PHI","LBR",1,1,1,1
"2012","PHI","LEB",2,1,2,1
"2012","PHI","LKA",8,0,8,0
"2012","PHI","MYA",4,0,4,0
"2012","PHI","PAK",7,6,7,6
"2012","PHI","RWA",8,0,8,0
"2012","PHI","SOM",5,1,5,1
"2012","PHI","SRV",4,0,4,0
"2012","PHI","STA",3,0,3,0
"2012","PHI","SUD",3,2,3,2
"2012","PHI","THA",1,0,1,0
"2012","PLW","ETH",1,1,1,1
"2012","PNG","AFG",1,1,1,1
"2012","PNG","ECU",1,1,1,1
"2012","PNG","ETH",1,1,1,1
"2012","PNG","INS",4787,2550,9368,NA
"2012","PNG","LKA",5,5,5,5
"2012","PNG","MOR",1,1,1,1
"2012","PNG","SOM",5,5,5,5
"2012","PNG","SRV",0,0,0,0
"2012","PNG","UGA",1,1,1,1
"2012","POL","AFG",72,0,72,0
"2012","POL","ALG",2,0,2,0
"2012","POL","ANG",0,0,0,0
"2012","POL","ARE",3,0,3,0
"2012","POL","ARM",62,0,62,0
"2012","POL","AZE",11,0,11,0
"2012","POL","BGD",3,0,3,0
"2012","POL","BHU",1,0,1,0
"2012","POL","BLR",198,0,198,0
"2012","POL","BSN",1,0,1,0
"2012","POL","BUL",2,0,2,0
"2012","POL","CHI",13,0,13,0
"2012","POL","CMR",8,0,8,0
"2012","POL","COB",10,0,10,0
"2012","POL","COD",2,0,2,0
"2012","POL","CUB",10,0,10,0
"2012","POL","DJB",1,0,1,0
"2012","POL","ERT",14,0,14,0
"2012","POL","ETH",4,0,4,0
"2012","POL","GAZ",11,0,11,0
"2012","POL","GEO",14,0,14,0
"2012","POL","GNB",1,0,1,0
"2012","POL","ICO",1,0,1,0
"2012","POL","IND",6,0,6,0
"2012","POL","IRN",15,0,15,0
"2012","POL","IRQ",137,0,137,0
"2012","POL","JOR",2,0,2,0
"2012","POL","KAZ",7,0,7,0
"2012","POL","KEN",5,0,5,0
"2012","POL","KGZ",9,0,9,0
"2012","POL","KRN",1,0,1,0
"2012","POL","LAO",1,0,1,0
"2012","POL","LBR",1,0,1,0
"2012","POL","LBY",6,0,6,0
"2012","POL","LEB",4,0,4,0
"2012","POL","LKA",53,0,53,0
"2012","POL","MCD",1,0,1,0
"2012","POL","MDA",2,0,2,0
"2012","POL","MNG",18,0,18,0
"2012","POL","MOR",3,0,3,0
"2012","POL","MYA",1,0,1,0
"2012","POL","NEP",9,0,9,0
"2012","POL","NIG",17,0,17,0
"2012","POL","PAK",19,0,19,0
"2012","POL","PHI",1,0,1,0
"2012","POL","ROM",1,0,1,0
"2012","POL","RUS",14938,0,14938,0
"2012","POL","RWA",1,0,1,0
"2012","POL","SEN",6,0,6,0
"2012","POL","SLE",0,0,0,0
"2012","POL","SOM",48,0,48,0
"2012","POL","SRB",2,0,2,0
"2012","POL","SRV",17,0,17,0
"2012","POL","STA",21,0,21,0
"2012","POL","SUD",7,0,7,0
"2012","POL","SYR",17,0,17,0
"2012","POL","TKM",5,0,5,0
"2012","POL","TOG",3,0,3,0
"2012","POL","TUN",1,0,1,0
"2012","POL","TUR",39,0,39,0
"2012","POL","UGA",4,0,4,0
"2012","POL","UKR",25,0,25,0
"2012","POL","UZB",10,0,10,0
"2012","POL","VAR",1,0,1,0
"2012","POL","ZIM",3,0,3,0
"2012","POR","AFG",6,0,6,0
"2012","POR","ALB",2,0,2,0
"2012","POR","ANG",3,0,3,0
"2012","POR","BGD",1,0,1,0
"2012","POR","BLR",9,0,9,0
"2012","POR","BSN",11,0,11,0
"2012","POR","CMR",7,0,7,0
"2012","POR","COD",43,0,43,0
"2012","POR","COI",18,0,18,0
"2012","POR","COL",76,0,76,0
"2012","POR","CUB",8,0,8,0
"2012","POR","ERT",22,0,22,0
"2012","POR","ETH",3,0,3,0
"2012","POR","GAM",2,0,2,0
"2012","POR","GAZ",3,0,3,0
"2012","POR","GEO",3,0,3,0
"2012","POR","GHA",2,0,2,0
"2012","POR","GNB",9,0,9,0
"2012","POR","GUI",50,0,50,0
"2012","POR","ICO",19,0,19,0
"2012","POR","IND",4,0,4,0
"2012","POR","INS",1,0,1,0
"2012","POR","IRN",10,0,10,0
"2012","POR","IRQ",6,0,6,0
"2012","POR","KAZ",0,0,0,0
"2012","POR","KEN",5,0,5,0
"2012","POR","LBR",3,0,3,0
"2012","POR","LBY",1,0,1,0
"2012","POR","LKA",19,0,19,0
"2012","POR","MAU",2,0,2,0
"2012","POR","MCD",2,0,2,0
"2012","POR","MNG",0,0,0,0
"2012","POR","MYA",4,0,4,0
"2012","POR","NEP",1,0,1,0
